# Character code table for jōyō kanji (2010)
# 常用漢字(2010年)と文字コードの対応表
# 
# Column 1: Kanji itself
# Column 2: Code point in JIS X 0213
# Column 3: Bit combination in GL (so-called 7-bit JIS code)
# Column 4: Bit combination in GR (EUC-JIS-2004)
# Column 5: Bit combination in SJIS (Shift_JIS-2004)
# Column 6: Code point in ISO/IEC 10646 UCS a.k.a. Unicode
#
# Distribution of this file is unlimited.
# This file is not authorized by any official organization.
# No warranty.
# 
# See also:
#   - Jōyō-kanji-hyō (常用漢字表)
#       http://www.bunka.go.jp/kokugo_nihongo/kokujikunrei_h221130.html
#   - JIS X 0213:2000/AMENDMENT 2:2012
#       7-bit and 8-bit double byte coded extended Kanji sets for 
#       information interchange (Amendment 2)
# 
# kanji, plane-row-cell, GL (7bit), GR (EUC), SJIS, UCS
亜,1-16-01,3021,B0A1,889F,U+4E9C
哀,1-16-05,3025,B0A5,88A3,U+54C0
挨,1-16-07,3027,B0A7,88A5,U+6328
愛,1-16-06,3026,B0A6,88A4,U+611B
曖,1-59-03,5B23,DBA3,9E42,U+66D6
悪,1-16-13,302D,B0AD,88AB,U+60AA
握,1-16-14,302E,B0AE,88AC,U+63E1
圧,1-16-21,3035,B0B5,88B3,U+5727
扱,1-16-23,3037,B0B7,88B5,U+6271
宛,1-16-24,3038,B0B8,88B6,U+5B9B
嵐,1-45-82,4D72,CDF2,9792,U+5D50
安,1-16-34,3042,B0C2,88C0,U+5B89
案,1-16-38,3046,B0C6,88C4,U+6848
暗,1-16-37,3045,B0C5,88C3,U+6697
以,1-16-42,304A,B0CA,88C8,U+4EE5
衣,1-16-65,3061,B0E1,88DF,U+8863
位,1-16-44,304C,B0CC,88CA,U+4F4D
囲,1-16-47,304F,B0CF,88CD,U+56F2
医,1-16-69,3065,B0E5,88E3,U+533B
依,1-16-45,304D,B0CD,88CB,U+4F9D
委,1-16-49,3051,B0D1,88CF,U+59D4
威,1-16-50,3052,B0D2,88D0,U+5A01
為,1-16-57,3059,B0D9,88D7,U+70BA
畏,1-16-58,305A,B0DA,88D8,U+754F
胃,1-16-63,305F,B0DF,88DD,U+80C3
尉,1-16-51,3053,B0D3,88D1,U+5C09
異,1-16-59,305B,B0DB,88D9,U+7570
移,1-16-60,305C,B0DC,88DA,U+79FB
萎,1-16-64,3060,B0E0,88DE,U+840E
偉,1-16-46,304E,B0CE,88CC,U+5049
椅,1-16-56,3058,B0D8,88D6,U+6905
彙,1-55-35,5743,D7C3,9C62,U+5F59
意,1-16-53,3055,B0D5,88D3,U+610F
違,1-16-67,3063,B0E3,88E1,U+9055
維,1-16-61,305D,B0DD,88DB,U+7DAD
慰,1-16-54,3056,B0D6,88D4,U+6170
遺,1-16-68,3064,B0E4,88E2,U+907A
緯,1-16-62,305E,B0DE,88DC,U+7DEF
域,1-16-72,3068,B0E8,88E6,U+57DF
育,1-16-73,3069,B0E9,88E7,U+80B2
一,1-16-76,306C,B0EC,88EA,U+4E00
